fold,corruption,severity,accuracy,far,frr
1,clean,0,0.9975,0.005,0.0
1,compression,0,0.9975,0.005,0.0
1,compression,1,0.9975,0.005,0.0
1,compression,2,0.9925,0.005,0.01
1,compression,3,1.0,0.0,0.0
1,compression,4,0.675,0.205,0.445
1,blur,0,1.0,0.0,0.0
1,blur,1,1.0,0.0,0.0
1,blur,2,1.0,0.0,0.0
1,blur,3,1.0,0.0,0.0
1,blur,4,1.0,0.0,0.0
1,brightness,0,0.58,0.5,0.34
1,brightness,1,0.53,0.27,0.67
1,brightness,2,0.5025,0.13,0.865
1,brightness,3,0.52,0.15,0.81
1,brightness,4,0.5225,0.185,0.77
1,perspective,0,1.0,0.0,0.0
1,perspective,1,1.0,0.0,0.0
1,perspective,2,1.0,0.0,0.0
1,perspective,3,0.995,0.01,0.0
1,perspective,4,0.9875,0.02,0.005
2,clean,0,0.9975,0.005,0.0
2,compression,0,0.9975,0.0,0.005
2,compression,1,0.9975,0.0,0.005
2,compression,2,1.0,0.0,0.0
2,compression,3,0.9975,0.005,0.0
2,compression,4,0.6825,0.2,0.435
2,blur,0,1.0,0.0,0.0
2,blur,1,1.0,0.0,0.0
2,blur,2,1.0,0.0,0.0
2,blur,3,1.0,0.0,0.0
2,blur,4,0.9975,0.0,0.005
2,brightness,0,0.585,0.57,0.26
2,brightness,1,0.5175,0.7,0.265
2,brightness,2,0.5225,0.09,0.865
2,brightness,3,0.5075,0.135,0.85
2,brightness,4,0.5125,0.16,0.815
2,perspective,0,1.0,0.0,0.0
2,perspective,1,0.9975,0.005,0.0
2,perspective,2,0.9975,0.005,0.0
2,perspective,3,0.99,0.005,0.015
2,perspective,4,0.98,0.005,0.035
3,clean,0,1.0,0.0,0.0
3,compression,0,1.0,0.0,0.0
3,compression,1,1.0,0.0,0.0
3,compression,2,0.9975,0.0,0.005
3,compression,3,1.0,0.0,0.0
3,compression,4,0.705,0.28,0.31
3,blur,0,1.0,0.0,0.0
3,blur,1,0.99,0.0,0.02
3,blur,2,0.9925,0.01,0.005
3,blur,3,0.9825,0.02,0.015
3,blur,4,0.98,0.03,0.01
3,brightness,0,0.5175,0.09,0.875
3,brightness,1,0.535,0.45,0.48
3,brightness,2,0.4975,0.135,0.87
3,brightness,3,0.5025,0.125,0.87
3,brightness,4,0.5525,0.06,0.835
3,perspective,0,1.0,0.0,0.0
3,perspective,1,1.0,0.0,0.0
3,perspective,2,0.995,0.005,0.005
3,perspective,3,0.9675,0.015,0.05
3,perspective,4,0.97,0.03,0.03
4,clean,0,1.0,0.0,0.0
4,compression,0,1.0,0.0,0.0
4,compression,1,1.0,0.0,0.0
4,compression,2,1.0,0.0,0.0
4,compression,3,1.0,0.0,0.0
4,compression,4,0.655,0.29,0.4
4,blur,0,1.0,0.0,0.0
4,blur,1,1.0,0.0,0.0
4,blur,2,1.0,0.0,0.0
4,blur,3,1.0,0.0,0.0
4,blur,4,1.0,0.0,0.0
4,brightness,0,0.605,0.505,0.285
4,brightness,1,0.55,0.265,0.635
4,brightness,2,0.5075,0.22,0.765
4,brightness,3,0.48,0.19,0.85
4,brightness,4,0.5225,0.215,0.74
4,perspective,0,1.0,0.0,0.0
4,perspective,1,1.0,0.0,0.0
4,perspective,2,0.995,0.01,0.0
4,perspective,3,0.9975,0.0,0.005
4,perspective,4,0.985,0.025,0.005
5,clean,0,1.0,0.0,0.0
5,compression,0,1.0,0.0,0.0
5,compression,1,1.0,0.0,0.0
5,compression,2,1.0,0.0,0.0
5,compression,3,1.0,0.0,0.0
5,compression,4,0.695,0.24,0.37
5,blur,0,1.0,0.0,0.0
5,blur,1,1.0,0.0,0.0
5,blur,2,1.0,0.0,0.0
5,blur,3,1.0,0.0,0.0
5,blur,4,1.0,0.0,0.0
5,brightness,0,0.5125,0.57,0.405
5,brightness,1,0.545,0.46,0.45
5,brightness,2,0.515,0.13,0.84
5,brightness,3,0.5325,0.17,0.765
5,brightness,4,0.54,0.43,0.49
5,perspective,0,1.0,0.0,0.0
5,perspective,1,1.0,0.0,0.0
5,perspective,2,0.9975,0.005,0.0
5,perspective,3,1.0,0.0,0.0
5,perspective,4,0.995,0.0,0.01
