img_a,img_b,label,writer_id
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-138-G-23.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Forged\H-S-138-F-11.tif,0,138
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-156-G-16.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-156-G-22.tif,1,156
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-46-G-09.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-46-G-11.tif,1,46
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-77-G-07.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Forged\H-S-77-F-20.tif,0,77
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-035-G-01.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-035-G-07.tif,1,35
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-160-G-23.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Forged\H-S-160-F-27.tif,0,160
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-62-G-20.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Forged\H-S-62-F-06.tif,0,62
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-140-G-14.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-140-G-15.tif,1,140
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-142-G-09.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-142-G-24.tif,1,142
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-55-G-18.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Forged\H-S-55-F-10.tif,0,55
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-33-G-05.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Forged\H-S-33-F-05.tif,0,33
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-83-G-09.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-83-G-20.tif,1,83
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-123-G-21.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Forged\H-S-123-F-01.tif,0,123
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-64-G-05.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Forged\H-S-64-F-05.tif,0,64
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-104-G-21.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-104-G-24.tif,1,104
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-104-G-06.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-104-G-14.tif,1,104
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-38-G-02.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-38-G-09.tif,1,38
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-116-G-16.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Forged\H-S-116-F-06.tif,0,116
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-63-G-09.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Forged\H-S-63-F-13.tif,0,63
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-1-G-07.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-1-G-23.tif,1,1
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-127-G-03.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Forged\H-S-127-F-21.tif,0,127
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-087-G-01.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Forged\H-S-087-F-06.tif,0,87
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-43-G-04.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-43-G-06.tif,1,43
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-142-G-06.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-142-G-15.tif,1,142
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-46-G-08.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-46-G-14.tif,1,46
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-10-G-01.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-10-G-17.tif,1,10
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-40-G-09.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-40-G-17.tif,1,40
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-16-G-02.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Forged\H-S-16-F-02.tif,0,16
C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-114-G-05.tif,C:\Users\arfan\OneDrive\Desktop\forgery\data\bhsig260\Reconstructed_BHSig160-20250403T183033Z-001\Reconstructed_BHSig160\Genuine\H-S-114-G-21.tif,1,114
